embedding_row,sample_id,mode,split,class_name,path,pca_1,pca_2,kmeans_cluster
14,Fracture.601,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.601.jpg,0.2019769,-0.3397106,3
15,Fracture.608,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.608.jpg,0.3888335,-0.009245381,0
16,Fracture.622,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.622.jpg,0.0806699,-0.17169629,3
17,Fracture.638,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.638.jpg,0.32572016,-0.35863304,3
18,Fracture.642,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.642.jpg,0.15353258,-0.10136033,2
19,Fracture.643,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.643.jpg,0.39026168,-0.04475127,0
20,Fracture.650,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.650.jpg,0.21371166,-0.17138231,3
21,Fracture.653,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.653.jpg,-0.0553791,-0.33199573,2
22,Fracture.741,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.741.jpg,0.024910351,0.05786653,2
23,Fracture.765,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.765.jpg,0.067189395,-0.06507077,0
24,Fracture.793,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.793.jpg,0.3606558,0.053140916,0
25,Fracture.796,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.796.jpg,0.3523008,-0.2726638,3
26,Fracture.805,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.805.jpg,0.3091844,-0.18665135,3
27,Fracture.850,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.850.jpg,0.011844946,-0.118655704,2
28,Fracture.876,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.876.jpg,0.4854022,0.08316476,0
29,Fracture.9,PPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/PPL/train/class10_cemented_fracture/Fracture.9.jpg,0.20907535,-0.16600168,3
30,Micritic_limestone.1022,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1022.jpg,-0.07676025,-0.06368097,2
31,Micritic_limestone.1189,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1189.jpg,-0.2530635,0.003794537,1
32,Micritic_limestone.1267,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1267.jpg,0.17557366,0.21045294,0
33,Micritic_limestone.1278,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1278.jpg,-0.07380659,0.0065594,2
34,Micritic_limestone.1403,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1403.jpg,-0.010908121,-0.13479966,2
35,Micritic_limestone.1410,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1410.jpg,0.026361866,0.08011673,2
36,Micritic_limestone.153,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.153.jpg,0.13935007,0.039746,0
37,Micritic_limestone.1548,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1548.jpg,0.004673058,-0.042518534,2
38,Micritic_limestone.1737,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1737.jpg,-0.061040476,0.04542969,2
39,Micritic_limestone.174,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.174.jpg,0.19188182,-0.03709565,0
40,Micritic_limestone.1823,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.1823.jpg,-0.17989255,-0.3659263,2
41,Micritic_limestone.20,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.20.jpg,0.041688643,0.06145762,2
42,Micritic_limestone.2118,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2118.jpg,0.10145241,-0.21634,2
43,Micritic_limestone.2209,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2209.jpg,0.35029826,0.13049169,0
44,Micritic_limestone.2460,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2460.jpg,0.14521886,0.0044927616,0
45,Micritic_limestone.2485,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2485.jpg,0.14097233,-0.16840988,0
46,Micritic_limestone.2486,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2486.jpg,0.14574575,0.11355596,2
47,Micritic_limestone.2564,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2564.jpg,0.022905795,0.16971952,0
48,Micritic_limestone.2586,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2586.jpg,0.26858065,0.26057,0
49,Micritic_limestone.2648,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2648.jpg,0.13951229,-0.12370805,2
50,Micritic_limestone.2669,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2669.jpg,0.16533746,-0.26196,3
51,Micritic_limestone.2697,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2697.jpg,0.11377211,-0.25391507,2
52,Micritic_limestone.2836,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2836.jpg,0.08170444,-0.17832658,3
53,Micritic_limestone.2884,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2884.jpg,0.07797764,0.117387556,0
54,Micritic_limestone.2959,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.2959.jpg,-0.22310834,0.24248841,1
55,Micritic_limestone.34,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.34.jpg,0.1832683,0.17080802,0
56,Micritic_limestone.379,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.379.jpg,-0.32674032,-0.02398636,2
57,Micritic_limestone.403,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.403.jpg,-0.10886628,0.083176024,2
58,Micritic_limestone.758,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.758.jpg,-0.059329204,-0.24056351,2
59,Micritic_limestone.759,PPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/PPL/train/class13_micritic_limestone/Micritic_limestone.759.jpg,0.028164627,-0.2828119,2
60,Oolitic.100,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.100.jpg,-0.21587826,0.33661968,1
61,Oolitic.102,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.102.jpg,-0.2938995,0.14829695,1
62,Oolitic.103,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.103.jpg,-0.043259554,0.17585489,2
63,Oolitic.11,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.11.jpg,0.05764678,-0.17252468,3
64,Oolitic.115,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.115.jpg,0.029044112,-0.27517384,3
65,Oolitic.116,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.116.jpg,-0.43833527,0.07403702,1
66,Oolitic.129,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.129.jpg,-0.20020631,-0.5371515,3
67,Oolitic.137,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.137.jpg,0.031419642,0.18656096,2
68,Oolitic.139,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.139.jpg,-0.04259961,0.15836795,2
69,Oolitic.142,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.142.jpg,-0.15322517,-0.18629304,2
70,Oolitic.147,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.147.jpg,-0.42638972,-0.07868737,1
71,Oolitic.15,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.15.jpg,-0.39470214,-0.10713858,1
72,Oolitic.17,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.17.jpg,-0.55678606,0.15855792,1
73,Oolitic.18,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.18.jpg,-0.27753088,0.20884497,1
74,Oolitic.20,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.20.jpg,-0.4570044,0.16379987,1
75,Oolitic.25,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.25.jpg,-0.6434053,-0.020045849,1
76,Oolitic.27,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.27.jpg,-0.62560284,0.116071336,1
77,Oolitic.3,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.3.jpg,-0.50312656,-0.100907,1
78,Oolitic.31,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.31.jpg,-0.07976158,-0.1992166,2
79,Oolitic.5,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.5.jpg,-0.1733811,0.03350561,1
80,Oolitic.61,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.61.jpg,-0.31722164,-0.10324793,1
81,Oolitic.63,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.63.jpg,0.046527,-0.17231715,2
82,Oolitic.65,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.65.jpg,-0.09995508,0.16363847,2
83,Oolitic.66,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.66.jpg,-0.13035306,0.09037074,2
84,Oolitic.76,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.76.jpg,-0.3739261,0.03941346,1
85,Oolitic.88,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.88.jpg,-0.22925948,-0.08488015,1
86,Oolitic.9,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.9.jpg,-0.19794324,-0.015648043,1
87,Oolitic.93,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.93.jpg,-0.3031048,0.15657449,1
88,Oolitic.97,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.97.jpg,-0.15620588,0.0014554644,2
89,Oolitic.99,PPL,train,class17_oolite,/content/PetroVision-Multimodal/data/raw/PPL/train/class17_oolite/Oolitic.99.jpg,0.033937246,0.18007465,0
90,Vug.1770,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1770.jpg,0.054571897,0.31372547,2
91,Vug.1798,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1798.jpg,0.02412965,0.1699272,2
92,Vug.1946,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1946.jpg,-0.040726006,0.16754329,2
93,Vug.1971,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1971.jpg,0.027292771,-0.41695344,3
94,Vug.1975,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1975.jpg,-0.36485013,0.21658695,1
95,Vug.1978,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.1978.jpg,-0.14230488,0.1069329,2
96,Vug.2399,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.2399.jpg,0.11703907,-0.04007379,2
97,Vug.250,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.250.jpg,0.07168497,-0.03949634,0
98,Vug.2501,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.2501.jpg,-0.18309759,0.16447735,2
99,Vug.2629,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.2629.jpg,-0.058799706,0.319944,2
100,Vug.284,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.284.jpg,0.040256724,0.34538168,2
101,Vug.2987,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.2987.jpg,-0.16206667,-0.03400924,2
102,Vug.3065,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3065.jpg,0.16627581,-0.21461797,3
103,Vug.3314,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3314.jpg,0.017622715,0.092395835,2
104,Vug.3325,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3325.jpg,0.13365056,0.14376292,0
105,Vug.3489,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3489.jpg,-0.06030363,0.08692576,2
106,Vug.3621,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3621.jpg,0.1517484,0.21646924,0
107,Vug.3717,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3717.jpg,0.025362832,-0.22741765,3
108,Vug.3807,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.3807.jpg,-0.11376992,-0.023420287,2
109,Vug.499,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.499.jpg,0.060116008,0.13821404,2
110,Vug.5169,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.5169.jpg,0.2286383,0.23670082,0
111,Vug.5453,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.5453.jpg,0.15444624,0.1980052,0
112,Vug.561,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.561.jpg,0.3033645,-0.023647787,0
113,Vug.5776,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.5776.jpg,0.18821152,0.0021049883,0
114,Vug.5806,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.5806.jpg,0.17728074,0.3501324,0
115,Vug.5885,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.5885.jpg,-0.05462896,-0.08695335,2
116,Vug.6085,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.6085.jpg,0.18295006,0.085452564,0
117,Vug.6105,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.6105.jpg,0.032098986,0.2922699,2
118,Vug.6352,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.6352.jpg,-0.14200479,0.23085311,2
119,Vug.858,PPL,train,class22_pore,/content/PetroVision-Multimodal/data/raw/PPL/train/class22_pore/Vug.858.jpg,-0.06862794,0.326871,2
120,Fracture.1024,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.1024.jpg,-0.011406532,-0.0645416,2
121,Fracture.1178,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.1178.jpg,0.15458395,0.16915123,0
122,Fracture.13,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.13.jpg,0.19713975,0.0156123955,0
123,Fracture.147,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.147.jpg,0.085687146,-0.19299114,2
124,Fracture.164,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.164.jpg,0.22681631,0.2688288,0
125,Fracture.168,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.168.jpg,0.24047296,0.32663167,0
126,Fracture.169,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.169.jpg,0.15570106,-0.05380082,2
127,Fracture.179,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.179.jpg,0.20750475,0.31437486,0
128,Fracture.199,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.199.jpg,-0.027568774,0.010327758,2
129,Fracture.266,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.266.jpg,0.22905917,0.08969242,0
130,Fracture.276,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.276.jpg,0.22252437,-0.08167217,0
131,Fracture.313,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.313.jpg,0.30764002,0.0804967,0
132,Fracture.315,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.315.jpg,0.35221997,0.065456435,0
133,Fracture.371,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.371.jpg,0.20840965,0.11709298,0
134,Fracture.438,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.438.jpg,0.2786021,-0.012492498,2
135,Fracture.439,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.439.jpg,0.13923797,0.08539871,2
136,Fracture.441,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.441.jpg,0.24429028,-0.08890797,0
137,Fracture.462,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.462.JPG,0.20692751,0.23694108,0
138,Fracture.464,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.464.JPG,0.16380568,0.22818157,0
139,Fracture.517,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.517.jpg,0.016302815,-0.12240394,2
140,Fracture.581,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.581.jpg,0.22653662,-0.2739643,3
141,Fracture.596,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.596.jpg,0.31815448,-0.04386635,0
142,Fracture.648,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.648.jpg,0.05535184,-0.1733268,2
143,Fracture.687,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.687.jpg,0.051426373,0.12421408,0
144,Fracture.732,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.732.jpg,0.4135433,0.05937986,0
145,Fracture.753,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.753.jpg,0.36221176,-0.15905964,3
146,Fracture.788,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.788.jpg,0.23878346,-0.06271889,3
147,Fracture.896,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.896.jpg,-0.038774192,0.08731846,2
148,Fracture.956,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.956.jpg,0.102519244,0.19819659,0
149,Fracture.981,XPL,train,class10_cemented_fracture,/content/PetroVision-Multimodal/data/raw/XPL/train/class10_cemented_fracture/Fracture.981.jpg,-0.09615442,0.28167266,2
150,Micritic_limestone.1262,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.1262.jpg,-0.030402554,-0.04795584,2
151,Micritic_limestone.197,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.197.jpg,-0.12598735,-0.05258844,2
152,Micritic_limestone.2061,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2061.jpg,0.33136657,-0.056388333,0
153,Micritic_limestone.2080,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2080.jpg,0.02573531,-0.2488653,3
154,Micritic_limestone.2120,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2120.jpg,0.05335457,-0.21496496,2
155,Micritic_limestone.2134,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2134.jpg,-0.07865332,0.107348226,2
156,Micritic_limestone.2170,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2170.jpg,0.299556,0.060968697,0
157,Micritic_limestone.2177,XPL,train,class13_micritic_limestone,/content/PetroVision-Multimodal/data/raw/XPL/train/class13_micritic_limestone/Micritic_limestone.2177.jpg,-0.0807158,0.09395983,2
